"","gov","senate","optout","p2p","election","previous_vote","current_vote","winner","female","quality","media_mentions","spending"
"204",0,0,0,0,2006,57.87,63.97,1,0,0,89,58683.98
"205",1,0,0,1,2008,82.56,82,1,0,0,47,63199.24
"206",0,0,0,0,2006,80.21,82.56,1,0,0,42,31639.9
"207",0,0,0,1,2008,48.52,45.8,1,0,0,274,56745.09
"208",1,1,0,0,2008,48.18,47.6,1,0,0,155,83330.14
"209",0,0,0,0,2006,44.99,48.18,1,0,0,70,68877.09
"210",0,0,0,0,2008,56.21,52.8,1,0,0,113,33420.21
"211",1,0,0,0,2006,53.38,56.21,1,0,0,175,38353.41
"212",1,0,0,0,2008,55.41,55.2,1,0,0,164,72164.7
"213",0,0,0,0,2006,51.16,55.41,1,0,0,147,76319.07
"214",1,0,0,1,2008,74.17,76.7,1,0,0,99,-99999
"215",0,0,0,1,2006,73.54,74.17,1,0,0,59,46569.68
"216",0,0,0,0,2008,56.57,54.4,1,1,0,478,72187.33
"217",0,0,0,0,2006,56.46,56.57,1,1,0,546,75177
"218",0,0,0,0,2008,36.95,33.1,0,0,0,14,82232.79
"219",1,0,0,0,2006,38.05,36.95,1,0,0,5,73698.52
"220",0,0,0,0,2008,55.92,54.6,1,0,0,53,82961.4
"221",0,0,0,0,2006,64.67,55.92,1,0,0,10,58032.63
"222",0,0,0,1,2006,57.63,46.38,1,1,0,14,37738.52
"223",0,0,0,0,2006,39.57,44.69,1,0,0,278,67639.04
"224",0,0,0,1,2008,57.43,50.5,1,0,0,25,39478.43
"225",0,0,0,1,2008,47.06,41.5,0,0,0,25,68266.14
"226",1,0,0,0,2006,51.73,47.06,1,0,0,13,67001.74
"227",1,0,0,0,2006,42.29,38.48,0,0,0,11,77746.28
"228",0,0,0,0,2006,41.48,47.99,1,1,0,79,60110.71
"229",1,0,0,0,2006,52.01,43.35,1,1,1,50,66553.6
"230",0,0,0,0,2008,43.35,37,0,1,1,123,68042.36
"231",0,0,0,1,2006,48.84,45.3,1,0,0,48,45479.89
"232",0,0,0,1,2008,52.34,47.9,1,0,0,19,96091.09
"233",0,0,0,0,2006,44.74,32.62,0,0,0,50,48632.26
"234",1,0,0,0,2006,44.99,39.08,0,0,0,27,70611.28
"235",0,0,0,0,2006,57.66,52.34,1,0,0,5,82585.49
"236",0,0,0,0,2008,37.17,32.6,0,0,0,2,57984.96
"237",0,0,0,0,2008,32.67,37.5,1,0,0,142,79068.57
"238",0,0,0,1,2008,40.39,40.9,1,1,1,158,76404.35
"239",1,0,0,0,2006,47.93,40.39,1,1,1,96,74206.08
"240",0,0,0,1,2008,38.1,39.1,0,1,1,104,79462.4
"241",0,0,0,0,2008,52.13,48.1,1,0,0,42,76931.57
"242",0,0,0,1,2008,51.87,45.8,1,0,0,88,47490.94
"243",0,0,0,0,2006,57.4,52.13,1,0,0,9,55659.38
"244",1,0,0,0,2006,50.69,51.87,1,0,0,42,67626.84
"245",0,0,0,1,2008,49.88,49.4,1,0,0,37,64766.42
"246",0,0,0,0,2008,49.38,44.3,1,0,0,717,53224.98
"247",1,0,0,1,2006,49.77,49.38,1,0,0,106,44560.96
"248",0,0,0,1,2006,47.7,52.57,1,0,0,348,51045.03
"249",0,1,0,0,2008,43.85,44.6,1,1,0,442,-99999
"250",0,0,0,0,2008,57.17,57.2,1,0,0,18,58674.1
"251",1,0,0,0,2006,63.9,57.17,1,0,0,89,66670.22
"252",1,0,0,1,2008,49.39,56.4,1,0,0,253,36224.08
"253",0,0,0,0,2006,46.64,49.39,1,0,1,199,64406.15
"254",0,0,0,0,2008,42.31,46.2,1,0,0,115,79667.57
"255",0,0,0,0,2008,59.72,49.2,1,0,0,530,36207.91
"256",1,0,1,1,2006,62.96,59.72,1,0,0,83,71828.84
"257",0,0,0,0,2008,43.08,41.3,1,1,0,55,80073.16
"258",0,0,0,1,2006,44.29,43.08,1,1,0,55,84828.88
"259",1,0,0,0,2008,54.43,57.1,1,0,0,26,40901.74
"260",0,0,0,0,2006,51.72,54.43,1,0,0,4,50287.96
"261",0,0,0,0,2008,43.63,46.1,1,0,1,6625,65816.3
"262",0,0,0,0,2006,42.81,50.67,1,0,1,4,65793.26
"263",0,1,0,0,2008,42.32,39.5,1,0,0,36,63982.85
"264",1,0,0,0,2006,42.07,42.32,1,0,1,60,67910.96
"265",0,0,0,1,2008,49.11,48.9,1,0,0,70,75869.79
"266",0,0,1,1,2006,59.41,45.2,1,0,0,190,56837.87
"267",0,0,0,1,2006,60.91,49.11,1,0,0,115,69490.43
"268",1,0,0,0,2008,43.78,57.4,1,0,0,367,61616.25
"269",1,0,0,1,2008,43.11,48.4,1,0,1,393,82439.89
"270",0,0,0,0,2008,59.08,53.6,1,1,0,29,30430.92
"271",0,0,0,1,2006,66.33,59.08,1,1,0,15,48469.27
"272",0,0,0,0,2006,76.15,79.71,1,0,0,1223,39321.38
"273",0,0,1,1,2006,70.6,72.17,1,0,0,186,49582.87
"274",1,0,1,1,2006,51.3,39.98,1,1,0,12,12071.37
"275",0,0,0,1,2008,48.33,49.7,1,0,0,1362,-99999
"276",0,0,0,0,2006,37.14,48.33,1,0,1,463,90616.95
"277",0,0,0,0,2008,53.94,47.5,1,0,0,278,65107.35
"278",0,0,0,1,2008,44.35,37.8,1,1,0,32,-99999
"279",0,0,0,0,2006,50.09,44.35,1,1,0,7,74111.23
"280",1,0,0,0,2008,33.47,44.6,1,1,0,197,79909.07
"281",0,0,0,1,2006,35.8,33.47,1,1,0,385,72464
"282",0,0,0,0,2006,41.4,46.56,1,0,0,62,72442.3
"283",0,0,0,1,2006,45.99,29.64,0,0,0,0,61218.95
"284",0,0,0,0,2008,46.03,40.9,1,1,0,695,87230.7
"285",0,0,0,0,2008,44.81,42.2,0,0,0,253,-99999
"286",0,0,0,1,2008,38.23,43.6,1,0,0,335,65849.27
"287",1,0,0,0,2006,46.1,38.23,1,0,0,63,61309.16
"288",1,0,0,1,2008,40.98,49.9,1,1,0,7,57939.21
"289",0,0,0,0,2008,48.43,48.9,1,0,0,1744,-99999
"290",0,0,0,1,2006,45.39,48.43,1,0,0,650,58328.75
"291",1,0,0,0,2008,41.88,52.4,1,0,0,92,91512.31
"292",0,0,0,1,2008,52.44,46,1,0,0,45,81764.47
"293",0,0,0,0,2008,36.94,39.7,1,0,0,526,77894.8
"294",0,0,0,1,2008,44.17,44.1,1,0,0,452,70010.81
"295",0,0,0,0,2008,42.92,38.1,0,0,1,573,53552.92
"296",0,0,0,1,2006,57.13,52.44,1,0,0,17,62315.33
"297",0,0,0,0,2006,32.87,32.53,0,0,1,220,73884.32
"298",1,0,0,0,2006,49.79,39.84,1,0,0,103,62176.45
"299",1,0,0,1,2006,51.67,44.17,1,0,0,117,44498.85
"300",1,0,1,1,2006,43.28,42.92,1,0,0,247,55428.82
"301",0,0,0,0,2008,45.87,45.3,1,1,0,10,77448.72
"302",0,0,0,1,2006,56.51,45.87,1,1,0,16,52078.91
"303",0,0,0,0,2006,56.29,49.69,1,1,0,1,36237.43
"304",0,0,0,1,2008,40.41,36,0,1,1,436,76004.89
"305",1,0,0,0,2008,50.13,50.9,1,0,1,75,72686.94
"306",0,0,0,0,2008,38.79,46.5,1,0,0,654,-99999
"307",0,0,0,0,2008,52.95,61.5,1,0,0,329,45972.82
"308",0,0,0,1,2006,43.27,40.66,1,0,0,2867,55938.56
"309",0,0,0,0,2006,46.02,50.13,1,0,0,156,55435.09
"310",0,0,0,1,2006,33.72,38.79,1,0,0,288,67743.86
"311",0,0,0,1,2006,45.77,52.95,1,0,0,227,55364.52
"312",0,0,0,0,2006,45.17,47.93,1,0,0,50,78945.56
"313",0,0,0,1,2008,54.12,52.4,1,0,0,127,66255.52
"314",0,0,0,0,2006,63.42,54.12,1,0,0,33,59220.84
"315",0,0,0,1,2006,45.66,54.97,1,0,0,132,88547.28
"316",1,0,0,0,2008,41.71,41.6,0,0,0,274,81596.53
"317",0,0,0,0,2006,39.4,41.71,1,0,0,256,73018.07
"318",0,0,1,1,2008,51.78,46.1,1,0,0,1901,66056.84
"319",0,0,0,0,2006,38.51,40.19,1,0,0,320,76042.41
"320",0,0,0,0,2008,42.83,30.8,0,0,0,397,78275.35
"321",0,0,0,0,2008,38.59,35.1,0,0,0,50,78353.3
"322",1,0,0,1,2006,42.41,43.31,1,0,0,25,64568.82
"323",0,0,0,0,2008,39.32,40.2,1,1,0,83,-99999
"324",1,0,0,0,2006,47.86,39.32,1,1,0,35,46813.21
"325",0,0,0,1,2008,42.69,40.9,1,0,0,17,35057.79
"326",0,0,0,0,2006,55.67,42.69,1,0,0,1,39804.88
"327",0,0,0,0,2008,55.58,49.6,1,0,0,77,28892.9
"328",0,0,0,0,2006,44.34,29.02,0,0,0,2,62325.52
"329",0,0,0,0,2006,51.6,38.28,0,0,0,246,63223.12
"330",0,0,0,1,2008,39.2,29.13,0,0,1,105,78498.47
"331",1,0,0,1,2008,67.3,67,1,0,0,56,78789.32
"332",1,0,0,0,2008,37.47,45.9,1,0,1,51,77155.17
"333",1,0,0,0,2008,41.21,48.4,1,0,1,79,84880.44
"334",0,0,0,1,2006,62.62,67.3,1,0,0,52,67905.52
"335",1,0,0,0,2008,58.71,57.3,1,0,0,237,73112.31
"336",1,0,0,0,2008,71.19,71.9,1,0,0,72,56963.15
"337",0,0,0,0,2006,55.9,58.71,1,0,0,78,46414.21
"338",0,0,0,1,2006,68.61,71.19,1,0,0,75,56337.32
"339",0,0,0,1,2006,44.82,48.31,1,0,0,200,64924.34
"340",0,0,0,0,2006,38.7,40.36,1,0,0,103,84115.97
"341",0,0,0,1,2008,38.49,41.2,1,0,0,14,87391.81
"342",0,0,0,1,2008,42.97,38.9,1,0,0,17,62148.59
"343",0,0,0,1,2008,39.24,36.1,0,0,1,331,-99999
"344",0,0,0,0,2008,43.09,43.2,1,0,0,34,48932.57
"345",0,0,0,0,2006,45.33,38.49,1,0,1,12,74994.4
"346",0,0,0,0,2006,49.2,42.97,1,0,0,1,40514.81
"347",0,0,0,1,2006,46.6,43.09,1,0,1,11,46244.85
"348",0,0,0,0,2008,53.19,48.1,1,0,0,76,-99999
"349",1,0,0,1,2006,53.26,53.19,1,0,0,44,62038.4
"350",0,0,0,1,2008,62.28,55.5,1,0,0,13,79500.05
"351",0,0,0,0,2008,36.52,31.8,0,0,0,12,63788.09
"352",0,0,0,1,2006,43.11,34.08,0,0,1,5,61733.98
"353",1,0,0,0,2006,41.93,33.11,0,0,0,185,30918.38
"354",0,0,0,1,2006,71.24,62.28,1,0,0,1,74385.98
"355",1,0,1,1,2006,36.23,36.52,1,0,0,13,72273.23
"356",1,0,0,1,2008,49.17,56,1,0,0,316,66354.39
"357",0,0,0,0,2006,60.4,66.83,1,1,0,339,64959.72
"358",0,0,0,0,2008,41.04,44.9,1,0,0,NA,86869.56
"359",0,0,0,1,2008,47.34,40.9,1,1,0,262,80010.86
"360",1,0,0,1,2006,47.73,47.34,1,1,0,99,74423.88
"361",0,0,0,0,2006,42.67,46.68,1,0,0,333,80147.47
"362",1,0,0,0,2006,39.69,34.51,0,0,0,6,74778.24
"363",0,0,0,0,2006,60.12,55.58,1,0,0,45,25835.57
"364",0,0,1,1,2008,45.56,44.2,1,0,0,1791,61623.42
"365",1,0,0,0,2008,51.07,55.8,1,0,0,249,47946.43
"366",0,0,0,0,2008,52.04,70.3,1,0,0,86,23605.43
"367",0,0,0,1,2006,48.77,51.07,1,0,0,1612,78342.7
"368",1,0,0,1,2006,48.2,52.04,1,0,0,77,44893.75
"369",0,0,0,0,2006,54.93,39.3,0,0,1,12,61526.16
"370",0,0,0,0,2008,52.2,49.9,1,0,1,16,63527.42
"371",0,0,0,1,2008,51,45.4,1,0,0,169,82764.17
"372",0,0,0,0,2006,58.74,52.2,1,0,0,9,64803.31
"373",0,0,0,0,2006,58.88,51,1,0,0,31,75466.39
"374",0,0,0,1,2008,50.16,50.1,1,0,0,243,65348.14
"375",0,0,1,1,2006,68.36,72.36,1,0,0,22615,67266.44
"376",1,0,0,1,2008,46.4,45.9,1,0,0,34,66280.1
"377",0,0,0,0,2006,44.29,46.98,1,0,1,246,71847
"378",0,0,0,1,2006,49.79,50.24,1,0,0,1280,46060
"379",0,0,0,1,2008,59.85,61.7,1,0,0,20682,46548.61
"380",0,0,0,1,2008,37.7,35.4,0,1,0,131,72288.28
"381",0,0,0,0,2008,34.25,36.4,1,0,0,320,79459.56
"382",0,0,0,0,2008,53.1,39.4,0,1,1,113,62484.23
"383",1,0,0,1,2006,54.58,53.1,1,1,0,20,65693.5
"384",0,0,0,0,2006,74.76,75.45,1,0,0,89,42057.5
"385",0,0,0,0,2008,40.22,34.7,1,0,0,18,89505.03
"386",0,0,0,0,2008,40.68,28.8,0,1,0,117,-99999
"387",0,0,1,1,2008,50.53,70.3,1,0,0,165,26886.5
"388",0,0,0,0,2006,33.21,42.15,1,0,0,105,65723.3
"389",1,0,0,1,2006,49.46,47.83,1,0,0,99,31802.83
"390",0,0,0,0,2008,38.88,40.4,1,0,0,207,83315.53
"391",0,0,0,0,2006,38.29,38.88,1,0,0,137,69741
"392",0,0,0,0,2008,48.05,38.5,1,0,0,1577,74163.09
"393",0,0,0,0,2006,63.02,65.68,1,0,0,757,40862.19
"394",0,0,0,0,2008,40.75,38.6,0,1,0,108,70871.95
"395",1,0,0,0,2008,45.95,35.8,0,0,0,620,82516.4
"396",1,0,0,1,2006,50.56,45.95,1,0,1,20,75999
"397",0,0,0,1,2008,50.48,44.2,1,0,0,569,52600.18
"398",0,0,0,0,2008,36.03,41.4,1,0,0,56,-99999
"399",1,0,0,0,2006,48,54,1,1,0,19,69726.52
"400",0,0,0,0,2006,62.4,56.02,1,0,0,54,41485.68
"401",0,0,0,0,2008,54.7,50,1,0,0,7,62155.3
"402",0,0,0,0,2006,60.85,54.7,1,0,0,6,52175.82
"403",0,0,0,1,2008,49.9,57.4,1,0,0,259,57376.65
"404",0,0,0,0,2008,46.57,39.6,1,0,0,6,63715.43
"405",0,0,0,1,2006,53.93,49.9,1,0,1,192,71858.53
"406",0,0,0,1,2006,45.23,46.57,1,0,1,2,68108.09
